>>>>>>>>>> seqidArray
NC_000001.11: 5109
NT_187361.1: 9
NT_187363.1: 1
NT_187366.1: 1
NT_187367.1: 7
NT_187368.1: 6
NT_187369.1: 1
NC_000002.12: 3871
NC_000003.12: 2990
NT_167215.1: 4
NC_000004.12: 2441
NT_113793.3: 3
NC_000005.10: 2592
NC_000006.12: 3005
NC_000007.14: 2792
NC_000008.11: 2165
NC_000009.12: 2270
NT_187373.1: 2
NT_187374.1: 6
NT_187375.1: 1
NC_000010.11: 2179
NC_000011.10: 2924
NT_187376.1: 5
NC_000012.12: 2526
NC_000013.11: 1385
NC_000014.9: 2065
NT_113796.3: 5
NT_187377.1: 1
NT_113888.1: 5
NT_187378.1: 1
NT_187379.1: 2
NT_187380.1: 1
NT_187381.1: 3
NC_000015.10: 1824
NT_187382.1: 15
NC_000016.10: 1938
NT_187383.1: 33
NC_000017.11: 2450
NT_113930.2: 7
NC_000018.10: 984
NC_000019.10: 2499
NC_000020.11: 1358
NC_000021.9: 777
NC_000022.11: 1189
NT_187386.1: 10
NT_187388.1: 11
NT_187389.1: 11
NC_000023.11: 2186
NC_000024.10: 580
NT_187420.1: 5
NT_113901.1: 5
NT_167213.1: 3
NT_167214.1: 11
NT_167218.1: 2
NT_187497.1: 2
NT_167208.1: 4
NT_187498.1: 4
NT_187499.1: 10
NT_187500.1: 6
NT_187501.1: 2
NT_187503.1: 1
NT_187504.1: 1
NT_187505.1: 2
NT_187506.1: 2
NT_187508.1: 2
NT_187509.1: 1
NT_187510.1: 1
NT_167209.1: 3
NT_187513.1: 5
NT_113889.1: 3
NW_012132914.1: 32
NW_015495298.1: 19
NW_011332688.1: 7
NW_014040926.1: 11
NW_009646195.1: 4
NW_018654706.1: 4
NW_009646194.1: 4
NW_018654707.1: 1
NW_014040925.1: 1
NW_017852928.1: 12
NW_009646196.1: 5
NW_011332687.1: 8
NW_018654708.1: 33
NW_014040927.1: 12
NW_012132915.1: 47
NW_018654709.1: 1
NW_015495299.1: 18
NW_018654710.1: 10
NW_011332690.1: 7
NW_011332689.1: 2
NW_017363813.1: 5
NW_009646197.1: 25
NW_012132916.1: 8
NW_011332691.1: 7
NW_018654711.1: 4
NW_009646198.1: 2
NW_019805491.1: 2
NW_019805492.1: 5
NW_019805490.1: 3
NW_019805489.1: 3
NW_013171799.1: 4
NW_013171800.1: 2
NW_013171801.1: 9
NW_017363814.1: 3
NW_015495300.1: 26
NW_015495301.1: 25
NW_018654712.1: 1
NW_009646199.1: 1
NW_016107297.1: 10
NW_016107298.1: 25
NW_018654713.1: 10
NW_009646200.1: 1
NW_013171802.1: 6
NW_017363815.1: 7
NW_017852929.1: 3
NW_017852930.1: 7
NW_018654714.1: 34
NW_018654715.1: 33
NW_012132919.1: 2
NW_018654717.1: 214
NW_017852932.1: 1
NW_017852931.1: 2
NW_019805494.1: 2
NW_018654716.1: 17
NW_013171804.1: 1
NW_009646201.1: 23
NW_013171806.1: 1
NW_009646202.1: 4
NW_013171807.1: 7
NW_011332693.1: 1
NW_015148966.1: 4
NW_011332695.1: 10
NW_019805496.1: 12
NW_019805495.1: 2
NW_017363816.1: 5
NW_019805498.1: 5
NW_019805497.1: 3
NW_013171808.1: 3
NW_009646203.1: 11
NW_013171809.1: 1
NW_018654718.1: 23
NW_011332696.1: 17
NW_018654720.1: 1
NW_015148967.1: 2
NW_018654719.1: 3
NW_011332697.1: 3
NW_019805499.1: 3
NW_011332699.1: 9
NW_009646205.1: 1
NW_011332700.1: 2
NW_013171811.1: 1
NW_011332698.1: 5
NW_018654722.1: 47
NW_018654721.1: 5
NW_011332701.1: 129
NW_012132920.1: 41
NW_013171812.1: 6
NW_019805500.1: 4
NW_017852933.1: 54
NW_013171813.1: 8
NW_018654723.1: 6
NW_017363817.1: 5
NW_016107299.1: 14
NW_017363819.1: 22
NW_017363818.1: 1
NW_019805503.1: 1
NW_014040928.1: 3
NW_019805502.1: 2
NW_013171814.1: 6
NW_018654724.1: 3
NW_014040929.1: 19
NW_009646206.1: 11
NW_016107300.1: 11
NW_016107301.1: 11
NW_016107302.1: 11
NW_016107303.1: 18
NW_016107304.1: 16
NW_016107305.1: 11
NW_016107306.1: 12
NW_016107307.1: 11
NW_016107308.1: 9
NW_016107309.1: 11
NW_016107310.1: 15
NW_016107311.1: 7
NW_016107313.1: 12
NW_016107314.1: 9
NW_016107312.1: 10
NW_009646207.1: 7
NW_014040930.1: 7
NW_014040931.1: 12
NW_009646208.1: 8
NW_015148968.1: 9
NW_015148969.1: 5
NW_018654725.1: 1
NW_018654726.1: 2
NW_009646209.1: 2
NT_187515.1: 19
NT_187517.1: 17
NT_187514.1: 1
NT_187520.1: 8
NW_003315905.1: 9
NW_003315906.1: 10
NW_003315907.2: 4
NT_187519.1: 13
NT_187516.1: 3
NT_187518.1: 10
NT_187525.1: 3
NT_187526.1: 1
NT_187529.1: 3
NT_187522.1: 3
NW_003315908.1: 3
NT_187524.1: 3
NT_187528.1: 5
NW_003571033.2: 1
NW_003315909.1: 4
NT_187527.1: 9
NT_187523.1: 6
NW_003871060.2: 7
NT_187535.1: 1
NT_187537.1: 15
NW_003315913.1: 4
NT_187533.1: 5
NT_187538.1: 4
NT_187532.1: 10
NT_187534.1: 4
NT_187539.1: 10
NT_187540.1: 4
NW_003315915.1: 3
NT_167250.2: 16
NW_003315914.1: 4
NT_187542.1: 1
NT_187545.1: 5
NT_187543.1: 5
NT_187550.1: 8
NT_187548.1: 6
NT_187547.1: 4
NW_003315920.1: 1
NW_003571036.1: 5
NT_187551.1: 4
NW_003315917.2: 46
NW_003315918.1: 1
NT_187549.1: 2
NW_003315919.1: 2
NT_187546.1: 4
NT_167244.2: 195
NT_187555.1: 2
NW_003315921.1: 5
NT_187556.1: 7
NT_187557.1: 4
NW_004166862.2: 3
NT_187552.1: 5
NT_187553.1: 8
NT_187558.1: 8
NT_187561.1: 6
NT_187559.1: 7
NW_003315922.2: 6
NT_187562.1: 115
NT_187564.1: 3
NT_187560.1: 2
NT_187572.1: 3
NT_187568.1: 2
NT_187565.1: 7
NT_187576.1: 16
NT_187570.1: 24
NT_187577.1: 8
NT_187566.1: 4
NT_187567.1: 1
NT_187574.1: 8
NT_187575.1: 1
NT_187573.1: 11
